Min of VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9878022,Aberlour,0,42,26.238095238095237,0.72,Oil/Chem Tanker,SG SMC,0
9624380,Abram Schulte,0.0030719999999999996,50,29.66,0.912,Bulk Carrier,IN SMC,-122.88
9476599,Acacia,0.035688680176493084,60,30.45,0.77,Oil/Chem Tanker,SG SMC,-1713.0566484716678
9700067,Adam Schulte,0.06807272727272727,30,28.266666666666666,1,Bulk Carrier,IN SMC,-1633.7454545454545
9624768,Amelia,0.4175812012473811,53,26.90566037735849,1.1,Oil/Chem Tanker,SG SMC,-17705.44293288896
9331206,Andalucia Express,0,66,19.87878787878788,0.6,Oil/Chem Tanker,DE SMC,0
9660566,Anglo Barinthus,0.011355932203389832,59,10.745762711864407,0.7,Bulk Carrier,CYP SMC,-536
9599133,Anglo Cynosure,0.003404255319148936,47,10.53191489361702,0.7,Bulk Carrier,CYP SMC,-128
9520833,Anglo Marimar,0.006698292220113851,31,35.25806451612903,0.7,Bulk Carrier,CYP SMC,-166.11764705882354
9660578,Anglo Red,0,69,24.405797101449274,0.7,Bulk Carrier,CYP SMC,0
9440772,ANL Warrnambool,0.01037179008234931,29,24.551724137931036,1.3,Container,DE SMC,-240.625529910504
9806768,Anna Schulte,0,36,24.36111111111111,0.768,Bulk Carrier,HK SMC,0
9532771,APL Turkey,0.03361344537815126,17,16.941176470588236,,Container,DE SMC,-457.1428571428571
9789714,Aquarama,0.628715681804628,52,16.865384615384617,0.7670999999999999,Gas Carrier,GR SMC,-26154.572363072522
9878034,Ardmore,0.38319651932958226,29,27.75862068965517,0.72,Oil/Chem Tanker,SG SMC,-8890.159248446307
9878010,Arran,0.30954778249972753,35,28.82857142857143,0.72,Oil/Chem Tanker,SG SMC,-8667.337909992373
9309150,Asian Ace,0,32,27.8125,1,Container,SG SMC,0
9901415,Aspen Express,0,32,23.40625,0.65,Oil Tanker,SG SMC,0
9806782,Astrid Schulte,0.011406722689075631,50,21.26,0.768,Bulk Carrier,HK SMC,-456.2689075630252
9686388,Avance Levant,0,36,25.47222222222222,0.78,Oil/Chem Tanker,SG SMC,0
9362970,Baosteel Education,0,53,25.69811320754717,0.8,Bulk Carrier,IN SMC,0
9969168,Barism Alice,0.12926811594202897,60,18.466666666666665,0.459,Bulk Carrier,HK SMC,-6204.869565217391
9484546,Bernhard Schulte,0.020192,25,21.52,1.5,Container,SG SMC,-403.84
9858797,Bowmore,0.6930885380919698,31,29.580645161290324,0.72,Oil/Chem Tanker,SG SMC,-17188.59574468085
9674842,Breeze,0.6847440381558029,37,23.08108108108108,0.78,Oil/Chem Tanker,SG SMC,-20268.423529411764
9307437,BTS Camilla,0,3,29,,Oil/Chem Tanker,SG SMC,0
9460629,BTS Elizabeth,0,5,29,0.65,Oil/Chem Tanker,SG SMC,0
9714769,Caipirinha,0.004032258064516129,62,23.838709677419356,0.7,Bulk Carrier,CYP SMC,-200
9331191,Canarias Express,0,67,20.238805970149254,0.6,Oil/Chem Tanker,DE SMC,0
9717204,Cap San Juan,0.006367346938775511,60,22.9,2.5,Container,SG SMC,-305.6326530612245
9717216,Cap San Lazaro,0,54,22.944444444444443,2.5,Container,SG SMC,0
9717228,Cap San Vincent,0.0018181818181818182,55,24.527272727272727,2.5,Container,SG SMC,-80
9665683,Carl Schulte,0.008844895657078399,45,20.822222222222223,1.5,Container,HK SMC,-318.4162436548223
9383895,Central,0,7,29.714285714285715,0.81,Chem oil/ Tanker,IN SMC,0
9333278,Challenge Prelude,0.7282401902497027,29,32.37931034482759,1.6,Oil/Chem Tanker,SG SMC,-16895.1724137931
9665657,Charlotte Schulte,0.0009706774519716885,43,27.511627906976745,1.5,Container,HK SMC,-33.391304347826086
9804904,Chemstar Sapphire,0.5634062907084798,53,19.528301886792452,1.6575,Oil/Chem Tanker,SG SMC,-23888.42672603954
9306158,Chennai Express,0.06678260869565218,25,17.64,2,Container,DE SMC,-1335.6521739130435
9665669,Christa Schulte,0.003643724696356275,52,17.5,1.5,Container,HK SMC,-151.57894736842104
9368778,Christoph Schulte,0.004092071611253197,51,19.627450980392158,0.672,Gas Carrier,SG SMC,-166.95652173913044
9220809,Clamor Schulte,0.01402327005511329,23,13.347826086956522,0.84,Gas Tanker,IN SMC,-258.0281690140845
9665671,Clemens Schulte,0,43,21.651162790697676,1.5,Container,HK SMC,0
9425954,CLM Pearl,0,37,31.27027027027027,,Bulk Carrier,HK SMC,0
9436422,CMA CGM Ambarli,0.066,20,18.6,1,Container,DE SMC,-1056
9395094,CMA CGM Arica,0.014010989010989008,56,28.071428571428573,1,Container,DE SMC,-627.6923076923077
9302956,CMA CGM Beira,0.03189511120016029,28,26.428571428571427,1,Container,DE SMC,-714.4504908835904
9395068,CMA CGM Callao,0,53,26.9811320754717,1,Container,DE SMC,0
9362736,CMA CGM Cebu,0.07236646465537565,44,25.818181818181817,1,Container,DE SMC,-2547.2995558692223
9365972,CMA CGM Goya,0,43,14.511627906976743,1,Container,DE SMC,0
9694555,CMA CGM Lekki,0,13,20.846153846153847,1.5,Container,DE SMC,0
