VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9439876,Elisalex Schulte,1.822303417,22,12.31818182,0.85,Chemical/Oil Tanker ,CYP SMC,-32072.54014
9307994,ELLIE M II,0.015513898,17,28,0.9,Oil/Chem,IN SMC,-210.989011
9394519,Emmy Schulte,1.040293376,27,11.81481481,0.85,Chemical/Oil Tanker ,CYP SMC,-22470.33691
9498119,Endo Gregale,0.570798393,71,27.30985915,0.9,Oil/Chem Tanker,GR SMC,-32421.34872
9426506,Endo Ponente,0.013160771,48,19.6875,,Oil Tanker,GR SMC,-505.3736183
9407031,Eonia,0,28,30.21428571,1.26,Tanker,SG SMC,0
9439864,Erika Schulte,0,42,13.66666667,0.85,Chemical/Oil Tanker ,CYP SMC,0
9439814,Erin Schulte,0.895438866,23,7.913043478,0.85,Chemical/Oil Tanker ,CYP SMC,-16476.07513
9439826,Eva Schulte,1.095889716,25,10.64,0.85,Chemical/Oil Tanker ,CYP SMC,-21917.79432
9850800,EVER FAME,0.002040816,49,19.30612245,2.5,Container,HK SMC,-80
9850795,EVER FIT,0.007859532,52,21,2.5,Container,HK SMC,-326.9565217
9811000,Ever Given,0,38,20.13157895,2.5,Container,HK SMC,0
9439838,Everhard Schulte,0.685824714,30,29.1,0.85,Chemical/Oil Tanker ,CYP SMC,-16459.79314
9697155,Fabia Schulte,0.009079445,61,19.40983607,0.84,Bulk Carrier,HK SMC,-443.0769231
9841938,Flora Schulte,0.006363636,33,22.90909091,0.7,Bulk Carrier,HK SMC,-168
9747780,FMG Grace,0.003063187,56,29.125,1.3,Bulk Carrier,HK SMC,-137.2307692
9747778,FMG Nicola,0.008909091,55,26.54545455,1.3,Bulk Carrier,HK SMC,-392
9747792,FMG Sophia,0.001015873,54,26.11111111,1.3,Bulk Carrier,HK SMC,-43.88571429
9747807,FMG Sydney,0,46,27.86956522,1.3,Bulk Carrier,HK SMC,0
9861160,Franz Schulte,0.013083333,40,15.175,0.7,Bulk Carrier,GR SMC,-418.6666667
9709245,Franziska Schulte,0.011398997,52,19.15384615,0.7,Bulk Carrier,HK SMC,-474.1982609
9861172,Freya Schulte,0.003157895,32,26.53125,0.7,Bulk Carrier,GR SMC,-80.84210526
9721425,Friederike Schulte,0.320346397,51,18.7254902,0.7,Bulk Carrier,HK SMC,-13070.13298
9841940,Friedrich Schulte,0.149244928,24,21.79166667,0.7,Bulk Carrier,HK SMC,-2865.502609
9328481,Gerhard Schulte,0.008083333,48,12.3125,1,Container,CN SMC,-310.4
9877913,Gia Glory,0,47,18.87234043,0.72,Bulk Carrier,SG SMC,0
9439412,Golden Beijing,0.009627329,42,25.38095238,0.9,Bulk Carrier,SG SMC,-323.4782609
9743174,Golden Calvus,0,46,22.5,,Bulk Carrier,SG SMC,0
9842724,Golden Champion,0.957716796,62,25.19354839,0.876,Bulk Carrier,SG SMC,-47502.75307
9717395,Golden Cirrus,0,41,27.87804878,,Bulk Carrier,SG SMC,0
9851804,Golden Comfort,0.048225806,62,19.96774194,0.876,Bulk Carrier,SG SMC,-2392
9856490,Golden Competence,0.32704417,75,24.21333333,0.876,Bulk Carrier,SG SMC,-19622.65022
9856488,Golden Confidence,0.794402653,64,18.765625,0.876,Bulk Carrier,SG SMC,-40673.41586
9842712,Golden Coral,0.821833169,29,24.72413793,0.876,Bulk Carrier,SG SMC,-19066.52952
9851816,Golden Courage,0.45486603,82,23.51219512,0.876,Bulk Carrier,SG SMC,-29839.21157
9860116,Golden Fast,0.05413913,46,21.43478261,0.8,Bulk Carrier,SG SMC,-1992.32
9854313,Golden Fellow,0.006382979,47,30.14893617,0.8,Bulk Carrier,SG SMC,-240
9852523,Golden Fortune,0.205003636,55,25.05454545,0.8,Bulk Carrier,SG SMC,-9020.16
9852535,Golden Forward,0,39,31.02564103,0.8,Bulk Carrier,SG SMC,0
9849904,Golden Freeze,0.366502572,46,18.84782609,0.8,Bulk Carrier,SG SMC,-13487.29465
9854301,Golden Friend,0,54,25.27777778,0.8,Bulk Carrier,SG SMC,0
9849899,Golden Frost,0.442675262,55,19.47272727,0.8,Bulk Carrier,SG SMC,-19477.71154
9860128,Golden Furious,0.788199016,42,16.45238095,0.8,Bulk Carrier,SG SMC,-26483.48694
9743198,Golden Incus,0.069521739,80,24.0625,,Bulk Carrier,SG SMC,-4449.391304
9743150,Golden Nimbus,0.01038961,63,22.20634921,,Bulk Carrier,SG SMC,-523.6363636
9328493,Gottfried Schulte,0,13,28.30769231,1,Container,CN SMC,0
9878888,Gui Ying,0,53,20.50943396,1.5,LNG Carrier,GR SMC,0
9301938,Hannah Schulte,0,18,27.61111111,1,Container,GR SMC,0
9531909,Hans Schulte,0,14,29.57142857,1.5,Container,IN SMC,0
9379038,Harris,0,32,22.25,0.87,Tanker,SG SMC,0
9535149,Hedwig Schulte,0,30,25.9,1.5,Container,IN SMC,0
9535163,Henrika Schulte,0.006847826,32,20.625,1.5,Container,HK SMC,-175.3043478
9535187,Hermann Schulte,0,7,22,1.5,Container,HK SMC,0
9407380,Horizon Thetis,0,35,28.11428571,0.9,Oil Tanker,GR SMC,0
9535204,Hubert Schulte,0.014254789,44,22.5,1.5,Container,HK SMC,-501.7685619
9650808,Illawarra Fortune,0,51,28.41176471,0.9,Bulk Carrier,HK SMC,0
9925679,Indianapolis,0.206877101,58,23.31034483,0.7,LPG Carrier,GR SMC,-9599.097489
9721437,Interlink Celerity,0.12483375,39,16.69230769,0.7,Bulk Carrier,HK SMC,-3894.812989
9711755,Interlink Fortuity,0.096919255,49,24.59183673,0.7,Bulk Carrier,HK SMC,-3799.234783
9711767,Interlink Nobility,0,16,26.5625,0.7,Bulk Carrier,HK SMC,0
9711779,Interlink Solidity,0,22,30.72727273,0.7,Bulk Carrier,HK SMC,0
9363792,Island Express,0.791736495,35,27.14285714,2.61,Oil/Chem Tanker,SG SMC,-22168.62187
9459577,Jane Asphalt,0.536324199,18,28.55555556,0.72,Oil Tanker,DE SMC,-7723.068461
9567996,Jasper Dream,0,50,27.4,0.68,Bulk Carrier,IN SMC,0
9812121,Jastella,1.114310512,67,26.31343284,0.62,Tanker - Butumen,SG SMC,-59727.04344
9392391,Jose Progress,0.093747766,64,21.109375,1.2,Oil/Chem Tanker,SG SMC,-4799.885611
9603465,Kaspar Schulte,0,43,25.41860465,0.504,Bulk Carrier,HK SMC,0
9836359,Key Sonority,0.037771739,48,28.70833333,0.56,Bulk Carrier,IN SMC,-1450.434783
9343998,Kohzan Maru V,0.057331096,65,25.52307692,0.9,Oil/Chem Tanker,SG SMC,-2981.216981
9297474,Lady Jane,0,40,27.4,1.3,Container,CYP SMC,0
9878058,Lagavulin,0,42,25.71428571,0.72,Oil/Chem Tanker,SG SMC,0
9878060,Laphroaig,0,11,29,0.72,Oil/Chem Tanker,SG SMC,0
9699866,Largo Mariner,0,13,21.69230769,1.2,Tanker,IN SMC,0
9938523,Legislator,0.025364461,69,22.84057971,0.6558,Oil/Chem Tanker,GR SMC,-1400.118227
9892133,LNG Geneva,0.004946475,63,21.92063492,1.266,LNG Carrier,GR SMC,-249.3023256
9917555,Lng Harmony,0.024882353,68,24.42647059,1.008,LNG Carrier,GR SMC,-1353.6
9902938,Lng Prosperity,0.034615385,52,26.05769231,1.008,LNG Carrier,GR SMC,-1440
9406465,London Courage,0.001970443,58,26.48275862,0.68,Bulk Carrier,IN SMC,-91.42857143
9812432,Longrow,0.382610197,64,32.34375,0.65,Tanker,SG SMC,-19589.6421
9301926,Lucie Schulte,0.055083223,38,24.18421053,1,Container,GR SMC,-1674.529977
9406362,Lucky Feb,0,61,25.50819672,1.14,Tanker,SG SMC,0
9303417,Lv Lizzy,0.044174441,45,25.88888889,1.377,Oil/Chem Tanker,SG SMC,-1590.279865
9631113,Lyme Bay,0,7,24.28571429,1.5,Container,DE SMC,0
9969053,Maersk Florence,0.061664516,31,24.61290323,,Container,HK SMC,-1529.28
9979278,Maersk Fortaleza,0.132352941,16,19,,Container,HK SMC,-1694.117647
9936446,Maersk Phuket,0,15,27.73333333,1,Container,SG SMC,0
9732591,Maersk Sarat,0,51,24.11764706,2.5,Container,SG SMC,0
9728253,Maersk Shivling,0,38,17.94736842,2.5,Container,CYP SMC,0
9740457,Maersk Skarstind,0,48,21.02083333,2.5,Container,SG SMC,0
9786085,Maersk Zambezi,0,22,25.45454545,1.3,Container,CYP SMC,0
9901427,Magnolia Express,0,57,18.15789474,0.65,Oil Tanker,SG SMC,0
9709221,Mai Tai,0.000967742,31,18.83870968,0.7,Bulk Carrier,CYP SMC,-24
9694438,Majestic,0.009496032,72,23.63888889,1,Container,CYP SMC,-546.9714286
9302944,Margarete Schulte,0.012055814,57,22.47368421,1,Container,IN SMC,-549.7451274
9183570,Marianna 28,0.020915033,51,25.62745098,0.45,Tanker - LPG,SG SMC,-853.3333333
9166766,Marianna Golden,0.04359,40,28.275,0.65,Gas Tanker,SG SMC,-1394.88
9304306,Marina Aman,0.078354571,19,25.15789474,1.46,Chem oil/ Tanker,SG SMC,-1190.989481
9694414,Mariner,0,32,27.03125,1,Container,CYP SMC,0
9319545,Martini,1.053394247,30,22.3,1.074,Oil/Chem Tanker,GR SMC,-25281.46193
9760770,Marvel Hawk,0,78,25,,LNG Carrier,UK SMC,0
9880192,Marvel Swan,0.003501653,74,24.5,0.702,Oil/Chem Tanker,PRONAV,-207.2978824
9676709,Mathilde Schulte,0.010204082,24,21.04166667,1,Container,HK SMC,-195.9183673
9743497,Matthew Schulte,0.036781137,45,21.15555556,1,Container,HK SMC,-1324.120946
9676711,Max Schulte,0,28,25.75,1,Container,HK SMC,0
9676723,Melchior Schulte,0.035846408,48,20.97916667,1,Container,HK SMC,-1376.502064
9938535,Mercator,0.006578947,76,26.30263158,0.7,LPG Carrier,GR SMC,-400
9694402,Meridian,0.00037037,27,29.44444444,1,Container,CYP SMC,-8
9676735,Mia Schulte,0.066217753,32,15.53125,1,Container,HK SMC,-1695.174484
9694426,Mieke Schulte,0.00106383,47,24.12765957,1,Container,CYP SMC,-40
9743473,Mimmi Schulte,0.065794395,27,20.07407407,1,Container,HK SMC,-1421.158942
9667540,Mistral,0.461793103,29,27.06896552,0.78,Oil/Chem Tanker,SG SMC,-10713.6
9743485,Molly Schulte,0,4,28.25,1,Container,HK SMC,0
9667564,Monsoon,0.002222222,54,24.38888889,0.78,Oil/Chem Tanker,SG SMC,-96
9220794,Moritz Schulte,0.125823215,29,14.37931034,0.84,Gas Tanker,IN SMC,-2919.098592
9741786,Mount Broad Peak,0,51,25.90196078,1,Bulk Carrier,SG SMC,0
9741774,Mount Gongga,0,66,24.31818182,1,Bulk Carrier,SG SMC,0
9271999,Moyra,0.084615385,39,22.28205128,0.8,Oil/Chem Tanker,DE SMC,-2640
9703590,MP Ultramax 1,0.093598069,52,17.5,1.1,Bulk Carrier,SG SMC,-3893.679671
9703605,MP Ultramax 2,0.015124633,44,27.27272727,1.1,Bulk Carrier,SG SMC,-532.3870968
9619464,MSC Agadir,0.052305665,23,23.60869565,2.5,Container,IN SMC,-962.4242424
9619476,MSC Antigua,0.017647059,34,26.58823529,2.5,Container,IN SMC,-480
9605231,MSC Dakar X,0.006754855,34,18.70588235,2.5,Container,HK SMC,-183.7320574
9605152,MSC Lagos X,0.128,30,25.43333333,2.5,Container,HK SMC,-3072
9484558,MSC Lome V,0.0286,34,26.67647059,1.5,Container,SG SMC,-777.92
9878876,Mu Lan,0.022512605,68,26.35294118,1.344,LNG Carrier,GR SMC,-1224.685714
9552408,NGM Bond,0,67,25.85074627,1.08,Bulk Carrier,GR SMC,0
9595591,NGM Glory,0.018915966,70,23.34285714,1.08,Bulk Carrier,GR SMC,-1059.294118
9595606,NGM Honor,0,52,28.73076923,1.08,Bulk Carrier,GR SMC,0
9375939,NGM Panther,0.001428571,70,29.75714286,0.52,Bulk Carrier,CYP SMC,-80
9966312,Nicolaus Schulte,0.022736842,57,27.31578947,0.7,Bulk Carrier,CYP SMC,-1036.8
9966300,Nora Schulte,0.020974967,66,23.15151515,0.7,Bulk Carrier,CYP SMC,-1107.478261
9883041,Nord Minami,0.016413374,56,21.32142857,1.5,Oil Tanker /Chem,SG SMC,-735.3191489
9890939,Nord Mirai,0.007446034,38,26.86842105,1.5,Oil Tanker /Chem,SG SMC,-226.359447
9890927,Nord Miyako,1.997481649,60,27.06666667,1.5,Oil Tanker /Chem,SG SMC,-95879.11916
9624627,Nord Nanami,0.00155743,67,25.35820896,0.52,Bulk Carrier,HK SMC,-83.47826087
9800104,Nordic Ace,1.996538721,36,27.08333333,1.29,Oil/Chem Tanker,SG SMC,-57500.31518
9800051,Nordic Ami,0.618009738,58,17.46551724,1.29,Oil/Chem Tanker,SG SMC,-28675.65184
9800116,Nordic Aqua,0.409405811,43,26.34883721,1.29,Oil/Chem Tanker,SG SMC,-14083.55989
9884966,Nordic Nuluujaak,0.354578,20,12,1.1,Bulk Carrier,CYP SMC,-5673.248
9727120,Nordic Oasis,0.601314645,20,14.75,0.83,Bulk Carrier,CYP SMC,-9621.034315
9687239,Nordic Odin,0.295153992,58,19.98275862,0.83,Bulk Carrier,CYP SMC,-13695.14525
9727118,Nordic Olympic,0.005882353,51,22.43137255,0.83,Bulk Carrier,CYP SMC,-240
9529463,Nordic Orion,0.014285714,7,11.42857143,0.91,Bulk Carrier,CYP SMC,-80
9687227,Nordic Oshima,0.254575985,10,27.8,0.83,Bulk Carrier,CYP SMC,-2036.60788
9884978,Nordic Qinngua,0.591165217,21,17.38095238,1.1,Bulk Carrier,CYP SMC,-9931.575652
9895795,Nordic Sanngijuq,0.011674576,59,24.44067797,1.1,Bulk Carrier,CYP SMC,-551.04
9895800,Nordic Siku,0.016129032,31,22.35483871,1.1,Bulk Carrier,CYP SMC,-400
9405916,Oak Express,0.059591526,37,24.24324324,0.87,Chemical Tanker,SG SMC,-1763.909176
9337004,Oceanus,1.371514243,58,18.72413793,1.8,Oil Tanker,CYP SMC,-63638.26087
9769300,One Tradition,0,8,27.25,2.5,Container,HK SMC,0
9769295,One Tribute,0.158841994,23,24.04347826,2.5,Container,HK SMC,-2922.692683
9522972,Ore China,0,68,25.55882353,1.023,Ore Carrier,IN SMC,0
9532513,Ore Dongjiakou,0,72,24.38888889,1.023,Ore Carrier,IN SMC,0
9532537,Ore Hebei,0,29,24.20689655,1.023,Ore Carrier,IN SMC,0
9532549,Ore Shandong,0,75,21.82666667,1.023,Ore Carrier,IN SMC,0
9902926,Orion Bohemia,0.019050362,38,27.05263158,1.008,LNG Carrier,GR SMC,-579.1309945
9917543,Orion Jessica,0.028125,32,22.1875,1.008,LNG Carrier,GR SMC,-720
9889904,Orion Sea,0.721087434,39,22.25641026,0.738,LNG Carrier,GR SMC,-22497.92795
9889916,Orion Sun,0.006153846,65,24.43076923,0.738,LNG Carrier,GR SMC,-320
9778478,Pacific Hong Kong,0,46,25.54347826,0.657,Gas Tanker,SG SMC,0
9739953,Pacific Qingdao,0.009054726,67,28.37313433,0.657,Gas Tanker,SG SMC,-485.3333333
9938511,Pacificator,0.010781671,14,24.07142857,0.6558,Oil/Chem Tanker,GR SMC,-120.754717
9674854,Passat,0,37,26.18918919,0.78,Oil/Chem Tanker,SG SMC,0
9340752,Phen Basin,0.005422648,57,25.85964912,1.5,Container,CYP SMC,-247.2727273
9405928,Pine Express,0.025014424,41,23.87804878,0.87,Chemical Tanker,SG SMC,-820.4731183
9403310,PIS Paragon,0.473126482,38,23.26315789,1.5,Oil/Chem,SG SMC,-14383.04506
9294563,PIS Pioneer,0.1,6,28.5,3.24,Tanker,SG SMC,-480
9426295,PIS Polaris,0.515580211,51,26.90196078,1.5,Oil/Chem,SG SMC,-21035.67263
9645798,PIS Sumatera,0,53,23.43396226,1.2,Chem oil/ Tanker,SG SMC,0
9803235,Poestella,1.119730481,44,20.5,0.62,Tanker - Butumen,SG SMC,-39414.51292
9923451,Proteus Elsie,0.109473684,57,29.10526316,0.6,Oil/Chem Tanker,SG SMC,-4992
9923401,Proteus Harvonne,0,50,28,0.6,Oil/Chem Tanker,SG SMC,0
9923463,Proteus Ingrid,0,57,21.66666667,0.6,Oil/Chem Tanker,SG SMC,0
9923425,Proteus Philippa,0.386956522,46,21.26086957,0.6,Oil/Chem Tanker,SG SMC,-14240
9923475,Proteus Rong Na,0.111940299,67,23.73134328,0.6,Oil/Chem Tanker,SG SMC,-6000
9923413,Proteus Sinead,0,61,27.19672131,0.6,Oil/Chem Tanker,SG SMC,0
9923449,Proteus Tracy,0.046,50,27.32,0.6,Oil/Chem Tanker,SG SMC,-1840
9665308,Raina,0,69,29.95652174,0.78,Bulk Carrier,SG SMC,0
9623661,RDO Favour,0,23,30.2173913,1.3,Container,DE SMC,0
9623673,RDO Fortune,0.002941176,34,24.67647059,1.3,Container,DE SMC,-80
9576753,Rebecca Schulte,1.95136014,52,20.38461538,1.3,Oil/Chem Tanker,SG SMC,-81176.58182
9576789,Reinhold Schulte,0.321602598,66,16.81818182,1.3,Oil/Chem Tanker,SG SMC,-16980.61719
9542489,ROSCO Banyan,0,68,21.41176471,1.02,Bulk Carrier,CN SMC,0
9803247,Rostella,0.99058581,60,23.85,0.62,Tanker - Butumen,SG SMC,-47548.11887
9375604,Royal Jasmine,0.117758566,52,24,0.5,Tanker,IN SMC,-4898.756333
9576765,Rudolf Schulte,0.47756809,38,22.81578947,1.3,Oil/Chem Tanker,SG SMC,-14518.06993
9568495,Sakura Advance,0,51,29.66666667,0.6,Oil/Chem Tanker,SG SMC,0
9568500,Sakura Belle,0.091164982,53,25.52830189,0.6,Oil/Chem Tanker,SG SMC,-3865.395222
9568512,Sakura Crest,0.029076047,68,31.30882353,0.6,Oil/Chem Tanker,SG SMC,-1581.736958
9560376,San Diego Bridge,0.029982021,27,12.55555556,1.4,Bulk Carrier,HK SMC,-647.6116505
9698628,San Felipe,0.340732919,14,10.07142857,2.5,Container,SG SMC,-3816.208696
9698630,San Felix,0.025203252,41,24.24390244,2.5,Container,SG SMC,-826.6666667
9698642,San Fernando,0,51,24.17647059,5,Container,SG SMC,0
9698654,San Francisca,0.001100665,49,25.30612245,2.5,Container,SG SMC,-43.14606742
9682887,Sea Bliss,0.011613333,50,20.26,0.46,Bulk Carrier,HK SMC,-464.5333333
9308950,Sea Senor,0.799659864,21,20,0.78,Tanker,SG SMC,-13434.28571
9567661,Seroja Lima,0,10,24.4,2,Container,HK SMC,0
9525821,SFL Hudson,0,32,24.625,0.555,Bulk Carrier,SG SMC,0
9635688,SFL Maui,0,17,22,1.7,Container,SG SMC,0
9617935,SFL Pearl,0,66,27.53030303,1.44,Bulk Carrier,SG SMC,0
9539834,SFL Sara,0,8,26.25,0.555,Bulk Carrier,SG SMC,0
9617947,SFL Yangtze,0.002919708,48,29.58333333,1.44,Bulk Carrier,SG SMC,-112.1167883
9600839,SFL Yukon,0.018695652,30,24.8,0.555,Bulk Carrier,SG SMC,-448.6956522
9971484,Shine Agate,0,59,18.91525424,0.8,Bulk Carrier,CN SMC,0
9971458,Shine Amber,0,50,30,0.8,Bulk Carrier,CN SMC,0
9971460,Shine Coral,0.011749844,65,27.70769231,0.8,Bulk Carrier,CN SMC,-610.9918699
9686376,Sirocco,0.473685614,34,22.44117647,0.78,Oil/Chem Tanker,SG SMC,-12884.24869
9887384,Solar Alice,0.613401843,26,14.34615385,0.9,Oil/Chem Tanker,CYP SMC,-12758.75833
9887401,Solar Catie,1.653120106,38,27.02631579,0.9,Oil/Chem Tanker,CYP SMC,-50254.85121
9887396,Solar Naama,1.344623823,29,14.31034483,0.9,Oil/Chem Tanker,CYP SMC,-31195.2727
9887372,Solar Roma,2.048818786,47,29.82978723,0.9,Oil/Chem Tanker,CYP SMC,-77035.58635
9743617,Spirit Of Seatrek,0,28,28.96428571,0.84,Bulk Carrier,SG SMC,0
9313101,Sriwangi,0,44,30.86363636,0.75,Tanker,SG SMC,0
9313096,Sriwangi II,0,28,30.17857143,0.75,Tanker,SG SMC,0
9892456,Tenergy,0.047360248,77,22.57142857,1.8,LNG Carrier,GR SMC,-2917.391304
9542984,Thalea Schulte,0,48,26.77083333,0.696,Gas Carrier,IN SMC,0
9551777,Thekla Schulte,0,52,18.61538462,0.744,Gas Carrier,IN SMC,0
